,accuracy,loss,val_accuracy,val_loss
22,0.6454285979270935,0.9324964880943298,0.6986666917800903,0.7581871747970581
23,0.6537142992019653,0.8943276405334473,0.6133333444595337,1.1911863088607788
24,0.654285728931427,0.9009867310523987,0.6613333225250244,0.9483226537704468
25,0.6728571653366089,0.8823807835578918,0.7173333168029785,0.7527671456336975
26,0.668571412563324,0.8724700808525085,0.7213333249092102,0.7363216876983643
27,0.6705714464187622,0.8673360347747803,0.7013333439826965,0.7851111888885498
28,0.682285726070404,0.8496646285057068,0.6786666512489319,0.8240448236465454
29,0.6962857246398926,0.7970590591430664,0.5920000076293945,1.157909631729126
30,0.6922857165336609,0.8239163160324097,0.7639999985694885,0.6397912502288818
31,0.6971428394317627,0.8216074109077454,0.6693333387374878,0.9650999903678894
32,0.7048571705818176,0.7929544448852539,0.6480000019073486,0.9321538805961609
33,0.7065714001655579,0.7867652177810669,0.7279999852180481,0.7212212681770325
34,0.7071428298950195,0.7912864685058594,0.7546666860580444,0.6514937877655029
35,0.7165714502334595,0.7684111595153809,0.7400000095367432,0.7559199929237366
36,0.7165714502334595,0.7584604620933533,0.6439999938011169,1.0375429391860962
37,0.7217142581939697,0.7515358328819275,0.7733333110809326,0.6711077094078064
38,0.7308571338653564,0.7279258370399475,0.7786666750907898,0.6782720685005188
39,0.7317143082618713,0.7251980304718018,0.7613333463668823,0.6281293630599976
40,0.7145714163780212,0.7601408958435059,0.7573333382606506,0.6423662900924683
41,0.741428554058075,0.7005352973937988,0.753333330154419,0.7333986163139343
42,0.7334285974502563,0.7120566368103027,0.781333327293396,0.5940758585929871
43,0.7408571243286133,0.6934307813644409,0.6506666541099548,1.1952749490737915
44,0.7468571662902832,0.6870390176773071,0.7506666779518127,0.7182318568229675
45,0.7557142972946167,0.6678298115730286,0.7666666507720947,0.6631408333778381
46,0.7400000095367432,0.6990123391151428,0.781333327293396,0.6728149652481079
47,0.74314284324646,0.6670032739639282,0.7426666617393494,0.7374706864356995
48,0.755142867565155,0.6736745834350586,0.7693333625793457,0.6482871174812317
49,0.7508571147918701,0.6602391600608826,0.7853333353996277,0.6521541476249695
50,0.7657142877578735,0.6382240056991577,0.6679999828338623,0.9722115993499756
51,0.7622857093811035,0.6415671706199646,0.7613333463668823,0.7219437956809998
52,0.7631428837776184,0.6303041577339172,0.7760000228881836,0.6485769152641296
53,0.7631428837776184,0.6515907645225525,0.6666666865348816,0.9466231465339661
54,0.7802857160568237,0.6140620708465576,0.7386666536331177,0.7702807784080505
55,0.7708571553230286,0.616823673248291,0.8133333325386047,0.5906542539596558
56,0.7734285593032837,0.6132067441940308,0.800000011920929,0.5678379535675049
57,0.7945713996887207,0.584290087223053,0.7760000228881836,0.6408998370170593
58,0.7922857403755188,0.571081817150116,0.7839999794960022,0.6826863884925842
59,0.7908571362495422,0.5768402814865112,0.7680000066757202,0.6713881492614746
60,0.7860000133514404,0.5625727772712708,0.6520000100135803,1.0819213390350342
61,0.7925714254379272,0.5698292255401611,0.8026666641235352,0.5314348340034485
62,0.7860000133514404,0.5801282525062561,0.7960000038146973,0.6035651564598083
63,0.8025714159011841,0.5432254672050476,0.7639999985694885,0.7193850874900818
64,0.7960000038146973,0.550395667552948,0.781333327293396,0.6470732092857361
65,0.8048571348190308,0.5606523156166077,0.7893333435058594,0.5566892623901367
66,0.8005714416503906,0.544877290725708,0.7546666860580444,0.7418602108955383
67,0.8062857389450073,0.5467503070831299,0.8080000281333923,0.5922482013702393
68,0.8108571171760559,0.5304872989654541,0.8080000281333923,0.5659658312797546
69,0.8174285888671875,0.519812822341919,0.7480000257492065,0.7536637187004089
70,0.8059999942779541,0.5234683156013489,0.8173333406448364,0.5559962391853333
71,0.8080000281333923,0.5294923186302185,0.7333333492279053,0.7372959852218628
72,0.8220000267028809,0.4998551309108734,0.7933333516120911,0.6221234798431396
73,0.8225714564323425,0.4894182085990906,0.7426666617393494,0.7554052472114563
74,0.8108571171760559,0.5275404453277588,0.7573333382606506,0.7920028567314148
75,0.8180000185966492,0.4956405758857727,0.7733333110809326,0.663280725479126
